waveform	[0]	[1]
t0	31/12/1903  20:00:00	31/12/1903  20:00:00
delta t	0.010000	0.010000

time	Y[0]	Y[1]
31/12/1903  20:00:03	7.947948E+0	1.986987E+0
31/12/1903  20:00:03	7.967968E+0	1.991992E+0
31/12/1903  20:00:03	7.987988E+0	1.996997E+0
31/12/1903  20:00:03	8.008008E+0	2.002002E+0
31/12/1903  20:00:04	8.028028E+0	2.007007E+0
31/12/1903  20:00:04	8.048048E+0	2.012012E+0
31/12/1903  20:00:04	8.068068E+0	2.017017E+0
31/12/1903  20:00:04	8.088088E+0	2.022022E+0
31/12/1903  20:00:04	8.108108E+0	2.027027E+0
31/12/1903  20:00:04	8.128128E+0	2.032032E+0
31/12/1903  20:00:04	8.148148E+0	2.037037E+0
31/12/1903  20:00:04	8.168168E+0	2.042042E+0
31/12/1903  20:00:04	8.188188E+0	2.047047E+0
31/12/1903  20:00:04	8.208208E+0	2.052052E+0
31/12/1903  20:00:04	8.228228E+0	2.057057E+0
31/12/1903  20:00:04	8.248248E+0	2.062062E+0
31/12/1903  20:00:04	8.268268E+0	2.067067E+0
31/12/1903  20:00:04	8.288288E+0	2.072072E+0
31/12/1903  20:00:04	8.308308E+0	2.077077E+0
31/12/1903  20:00:04	8.328328E+0	2.082082E+0
31/12/1903  20:00:04	8.348348E+0	2.087087E+0
31/12/1903  20:00:04	8.368368E+0	2.092092E+0
31/12/1903  20:00:04	8.388388E+0	2.097097E+0
31/12/1903  20:00:04	8.408408E+0	2.102102E+0
31/12/1903  20:00:04	8.428428E+0	2.107107E+0
31/12/1903  20:00:04	8.448448E+0	2.112112E+0
31/12/1903  20:00:04	8.468468E+0	2.117117E+0
31/12/1903  20:00:04	8.488488E+0	2.122122E+0
31/12/1903  20:00:04	8.508509E+0	2.127127E+0
31/12/1903  20:00:04	8.528529E+0	2.132132E+0
31/12/1903  20:00:04	8.548549E+0	2.137137E+0
31/12/1903  20:00:04	8.568569E+0	2.142142E+0
31/12/1903  20:00:04	8.588589E+0	2.147147E+0
31/12/1903  20:00:04	8.608609E+0	2.152152E+0
31/12/1903  20:00:04	8.628629E+0	2.157157E+0
31/12/1903  20:00:04	8.648649E+0	2.162162E+0
31/12/1903  20:00:04	8.668669E+0	2.167167E+0
31/12/1903  20:00:04	8.688689E+0	2.172172E+0
31/12/1903  20:00:04	8.708709E+0	2.177177E+0
31/12/1903  20:00:04	8.728729E+0	2.182182E+0
31/12/1903  20:00:04	8.748749E+0	2.187187E+0
31/12/1903  20:00:04	8.768769E+0	2.192192E+0
31/12/1903  20:00:04	8.788789E+0	2.197197E+0
31/12/1903  20:00:04	8.808809E+0	2.202202E+0
31/12/1903  20:00:04	8.828829E+0	2.207207E+0
31/12/1903  20:00:04	8.848849E+0	2.212212E+0
31/12/1903  20:00:04	8.868869E+0	2.217217E+0
31/12/1903  20:00:04	8.888889E+0	2.222222E+0
31/12/1903  20:00:04	8.908909E+0	2.227227E+0
31/12/1903  20:00:04	8.928929E+0	2.232232E+0
31/12/1903  20:00:04	8.948949E+0	2.237237E+0
31/12/1903  20:00:04	8.968969E+0	2.242242E+0
31/12/1903  20:00:04	8.988989E+0	2.247247E+0
31/12/1903  20:00:04	9.009009E+0	2.252252E+0
31/12/1903  20:00:04	9.029029E+0	2.257257E+0
31/12/1903  20:00:04	9.049049E+0	2.262262E+0
31/12/1903  20:00:04	9.069069E+0	2.267267E+0
31/12/1903  20:00:04	9.089089E+0	2.272272E+0
31/12/1903  20:00:04	9.109109E+0	2.277277E+0
31/12/1903  20:00:04	9.129129E+0	2.282282E+0
31/12/1903  20:00:04	9.149149E+0	2.287287E+0
31/12/1903  20:00:04	9.169169E+0	2.292292E+0
